,tv_show,network,views_mil,season,_18_49_demo
0,Game of Thrones ,hbo,11.992,s8,5.17
1,Big Little Lies,hbo,1.643,s2,0.65
2,Barry ,hbo,1.597,s2,0.43
3,True Detective,hbo,1.247,s3,0.36
4,Perry Mason ,hbo,0.937,s1,0.25
5,The Outsider,hbo,0.914,s1,0.25
6,Westworld,hbo,0.812,s3,0.23
7,Watchmen ,hbo,0.759,s1,0.20
8,Lovecraft Country,hbo,0.749,s1,0.19
9,Curb Your Enthusiasm ,hbo,0.663,s1,0.19
10,Succession ,hbo,0.597,s5,0.18
11,Euphoria ,hbo,0.560,s4,0.18
12,Righteous Gemstones (renewed,hbo,0.559,s6,0.18
13,Ballers ,hbo,0.493,s10,0.17
14,His Dark Materials ,hbo,0.423,s2,0.14
15,Insecure ,hbo,0.421,s1,0.11
16,Silicon Valley ,hbo,0.417,s1,0.10
17,Avenue 5 ,hbo,0.400,s1,0.10
18,Gentleman Jack ,hbo,0.392,s1,0.09
19,I Know This Much True ,hbo,0.362,s3,0.07
20,Divorce ,hbo,0.312,s3,0.07
21,The Deuce ,hbo,0.286,s1,0.07
22,Mrs. Fletcher ,hbo,0.256,s1,0.07
23,The New Pope,hbo,0.235,s1,0.06
24,Run ,hbo,0.232,s4,0.05
25,High Maintenance,hbo,0.224,s1,0.05
26,The Third Day,hbo,0.178,s1,0.04
27,Years and Years ,hbo,0.205,s1,0.04
28,Room 104 ,hbo,0.200,s1,0.04
29,Mosaic,hbo,0.197,s3,0.04
30,Tracey Ullman's Show,hbo,0.192,s1,0.04
31,Sally4Ever,hbo,0.133,s4,0.03
32,I May Destroy You,hbo,0.128,s1,0.03
33,We Are Who We Are,hbo,0.090,s1,0.01
34,True Blood ,hbo,3.480,s7,1.84
35,Boardwalk Empire ,hbo,2.014,s5,0.81
36,The Night Of ,hbo,1.411,s1,0.54
37,The Newsroom ,hbo,1.339,s3,0.52
38,Sharp Objects ,hbo,1.239,s1,0.46
39,The Brink ,hbo,1.075,s4,0.41
40,Veep ,hbo,0.901,s1,0.35
41,The Leftovers ,hbo,0.859,s3,0.35
42,Eastbound/Down ,hbo,0.784,s7,0.32
43,Vice Principals ,hbo,0.698,s2,0.29
44,Vinyl ,hbo,0.645,s6,0.28
45,Girls ,hbo,0.638,s1,0.22
46,The Young Pope ,hbo,0.585,s1,0.16
47,Here and Now ,hbo,0.378,s3,0.13
48,Crashing ,hbo,0.376,s2,0.12
49,Camping ,hbo,0.340,s1,0.11
50,Togetherness ,hbo,0.338,s2,0.10
51,Getting On ,hbo,0.279,s1,0.09
52,The Comeback ,hbo,0.225,s2,0.09
53,Looking ,hbo,0.240,s3,0.08
54,Animals ,hbo,0.185,s1,0.08
55,Jonah from Tonga ,hbo,0.120,s3,0.05
56,Shameless (renewed/ending),Showtime,0.847,s10,0.24
